"Unique ID","Sales Date","Deposit Date","Store ID","Retek Code","Pickupt Code","Deposit Slip No","Collection Bank",Location,"Deposit Amount"
2773254,,2024-11-18,,,,,SBICASHMIS,,363500.00
2773199,,2024-11-18,,,,,SBICASHMIS,,587700.00
2773304,,2024-11-18,,,,,SBICASHMIS,,610120.00
2773403,,2024-11-18,,,,,SBICASHMIS,,417370.00
2773536,,2024-11-18,,,,,SBICASHMIS,,517150.00
2773436,,2024-11-18,,,,,SBICASHMIS,,151250.00
2770493,,2024-11-18,,,57220,82707071,"AXIS Cash",BHOPA,14070.00
2770494,,2024-11-18,,,57508,82720129,"AXIS Cash",INDOR,9500.00
2770495,,2024-11-18,,,57899,83316678,"AXIS Cash",AHDBD,25600.00
2770512,,2024-11-18,,,57115,91358247,"AXIS Cash",HYDER,25180.00
2770545,,2024-11-18,,,57167,5716700840,"AXIS Cash",AHDBD,1240.00
2770546,,2024-11-18,,,57168,5716800536,"AXIS Cash",DELHI,44070.00
2770547,,2024-11-18,,,57184,5718400791,"AXIS Cash",CALIC,4668.00
2770548,,2024-11-18,,,57185,5718500734,"AXIS Cash",PUNE,14910.00
2770549,,2024-11-18,,,57188,5718800617,"AXIS Cash",PUNE,610.00
2770550,,2024-11-18,,,57190,5719000509,"AXIS Cash",SURAT,15282.00
2770551,,2024-11-18,,,57191,5719100246,"AXIS Cash",AHDBD,14850.00
2770552,,2024-11-18,,,57193,5719300438,"AXIS Cash",TRIVA,11733.00
2770553,,2024-11-18,,,57200,5720000270,"AXIS Cash",LUCKN,28400.00
2770554,,2024-11-18,,,57217,5721700433,"AXIS Cash",DELHI,35500.00
2770555,,2024-11-18,,,57292,5729200235,"AXIS Cash",DELHI,14400.00
2770556,,2024-11-18,,,57543,5754300511,"AXIS Cash",DELHI,5442.00
2770557,,2024-11-18,,,57621,5762100386,"AXIS Cash",AHDBD,10250.00
2770558,,2024-11-18,,,57625,5762500490,"AXIS Cash",AJMER,25000.00
2770559,,2024-11-18,,,57638,5763800412,"AXIS Cash",RAJKO,9563.00
2770560,,2024-11-18,,,57748,5774800325,"AXIS Cash",UDAIP,9857.00
2770561,,2024-11-18,,,57761,5776100435,"AXIS Cash",NAVSA,7601.00
2770562,,2024-11-18,,,57787,5778700438,"AXIS Cash",CALCU,4900.00
2770563,,2024-11-18,,,57794,5779400433,"AXIS Cash",DEHRA,1049.00
2770564,,2024-11-18,,,57794,5779400434,"AXIS Cash",DEHRA,28343.00
2770565,,2024-11-18,,,57815,5781500444,"AXIS Cash",JAIPU,9450.00
2770566,,2024-11-18,,,57867,5786700243,"AXIS Cash",HYDER,8605.00
2770567,,2024-11-18,,,57883,5788300444,"AXIS Cash",DURGA,1175.00
2770568,,2024-11-18,,,57883,5788300445,"AXIS Cash",DURGA,11450.00
2770569,,2024-11-18,,,87636,8763600385,"AXIS Cash",DELHI,27000.00
2770570,,2024-11-18,,,87652,8765200503,"AXIS Cash",AMBAL,14800.00
2770571,,2024-11-18,,,57153,644196,"AXIS Cash",CBRAL,6400.00
2770572,,2024-11-18,,,57126,5648939,"AXIS Cash",CBRAL,27210.00
2770573,,2024-11-18,,,57152,60792872,"AXIS Cash",CBRAL,1527.00
2769885,,2024-11-18,,,57198,64774203,"AXIS Cash",HYDER,9660.00
2769886,,2024-11-18,,,57890,71671755,"AXIS Cash",GORAK,9700.00
2769887,,2024-11-18,,,57143,73168380,"AXIS Cash",TIRUP,37630.00
2769888,,2024-11-18,,,57749,74310024,"AXIS Cash",CHNDI,33000.00
2769889,,2024-11-18,,,57513,80330119,"AXIS Cash",KOTA,8000.00
2769890,,2024-11-18,,,57528,80330954,"AXIS Cash",KOTA,36000.00
2769891,,2024-11-18,,,57064,80376564,"AXIS Cash",RANCH,9300.00
2769892,,2024-11-18,,,57847,80734469,"AXIS Cash",PANAJ,5020.00
2769893,,2024-11-18,,,57127,80882176,"AXIS Cash",JAMSH,15260.00
2769894,,2024-11-18,,,57509,82702164,"AXIS Cash",INDOR,4500.00
2769878,,2024-11-18,,,57724,3552027,"AXIS Cash",GUWAH,3390.00
2769879,,2024-11-18,,,57144,5400490,"AXIS Cash",CHENN,8217.00
2769880,,2024-11-18,,,57156,45316205,"AXIS Cash",CHENN,2799.00
2769881,,2024-11-18,,,57833,57592387,"AXIS Cash",SRIGA,14000.00
2769882,,2024-11-18,,,57754,61485030,"AXIS Cash",PURNI,10000.00
2769883,,2024-11-18,,,87301,61725115,"AXIS Cash",CHNDI,7100.00
2769884,,2024-11-18,,,57305,64140630,"AXIS Cash",COIMB,6580.00
2770531,,2024-11-18,,,57111,5711100838,"AXIS Cash",CHENN,470.00
2770532,,2024-11-18,,,57531,91720697,"AXIS Cash",CHNDI,14980.00
2770533,,2024-11-18,,,57110,5711000710,"AXIS Cash",BAREI,15880.00
2770534,,2024-11-18,,,57111,5711100839,"AXIS Cash",CHENN,11070.00
2770535,,2024-11-18,,,57128,5712800710,"AXIS Cash",MUMBA,17996.00
2770536,,2024-11-18,,,57133,5713300847,"AXIS Cash",NASIK,2970.00
2770537,,2024-11-18,,,57133,5713300848,"AXIS Cash",NASIK,5005.00
2770538,,2024-11-18,,,57137,5713700591,"AXIS Cash",HYDER,4474.00
2770539,,2024-11-18,,,57137,5713700592,"AXIS Cash",HYDER,1876.00
2770540,,2024-11-18,,,57154,5715400617,"AXIS Cash",PUNE,14240.00
2770541,,2024-11-18,,,57160,5716000451,"AXIS Cash",COIMB,6073.00
2770542,,2024-11-18,,,57167,5716700837,"AXIS Cash",AHDBD,270.00
2770543,,2024-11-18,,,57167,5716700838,"AXIS Cash",AHDBD,480.00
2770544,,2024-11-18,,,57167,5716700839,"AXIS Cash",AHDBD,7820.00
2769827,,2024-11-16,,,57128,5712800709,"AXIS Cash",MUMBA,4112.00
2769828,,2024-11-16,,,57129,5712900724,"AXIS Cash",BANGL,10880.00
2769829,,2024-11-16,,,57133,5713300845,"AXIS Cash",NASIK,4775.00
2769830,,2024-11-16,,,57133,5713300846,"AXIS Cash",NASIK,7417.00
2769831,,2024-11-16,,,57135,5713500596,"AXIS Cash",HYDER,1078.00
2769832,,2024-11-16,,,57144,5714400489,"AXIS Cash",CHENN,800.00
2769833,,2024-11-16,,,57154,5715400615,"AXIS Cash",PUNE,6750.00
2769834,,2024-11-16,,,57154,5715400616,"AXIS Cash",PUNE,6850.00
2769835,,2024-11-16,,,57159,5715900159,"AXIS Cash",BANGL,6100.00
2769836,,2024-11-16,,,57168,5716800535,"AXIS Cash",DELHI,18500.00
2769837,,2024-11-16,,,57185,5718500733,"AXIS Cash",PUNE,24820.00
2769838,,2024-11-16,,,57188,5718800615,"AXIS Cash",PUNE,8800.00
2769839,,2024-11-16,,,57188,5718800616,"AXIS Cash",PUNE,6400.00
2769840,,2024-11-16,,,57189,5718900798,"AXIS Cash",HYDER,2607.00
2769841,,2024-11-16,,,57189,5718900799,"AXIS Cash",HYDER,5014.00
2769842,,2024-11-16,,,57193,5719300437,"AXIS Cash",TRIVA,558.00
2769843,,2024-11-16,,,57197,5719700242,"AXIS Cash",PATNA,8000.00
2769844,,2024-11-16,,,57200,5720000268,"AXIS Cash",LUCKN,18500.00
2769845,,2024-11-16,,,57217,5721700432,"AXIS Cash",DELHI,5000.00
2769846,,2024-11-16,,,57292,5729200234,"AXIS Cash",DELHI,20600.00
2769847,,2024-11-16,,,57543,5754300509,"AXIS Cash",DELHI,1830.00
2769848,,2024-11-16,,,57543,5754300510,"AXIS Cash",DELHI,6000.00
2769849,,2024-11-16,,,57621,5762100385,"AXIS Cash",AHDBD,5940.00
2769850,,2024-11-16,,,57625,5762500489,"AXIS Cash",AJMER,8026.00
2769851,,2024-11-16,,,57638,5763800411,"AXIS Cash",RAJKO,9000.00
2769852,,2024-11-16,,,57653,5765300405,"AXIS Cash",JAIPU,660.00
2769853,,2024-11-16,,,57748,5774800324,"AXIS Cash",UDAIP,5525.00
2769854,,2024-11-16,,,57761,5776100434,"AXIS Cash",NAVSA,2314.00
2769855,,2024-11-16,,,57787,5778700437,"AXIS Cash",CALCU,6500.00
2769856,,2024-11-16,,,57791,5779100407,"AXIS Cash",BANGL,840.00
2769857,,2024-11-16,,,57794,5779400430,"AXIS Cash",DEHRA,14318.00
2769858,,2024-11-16,,,57794,5779400431,"AXIS Cash",DEHRA,1315.00
2769859,,2024-11-16,,,57794,5779400432,"AXIS Cash",DEHRA,6452.00
2769860,,2024-11-16,,,57815,5781500443,"AXIS Cash",JAIPU,12000.00
2769861,,2024-11-16,,,57845,5784500270,"AXIS Cash",MUMBA,2580.00
2769862,,2024-11-16,,,57867,5786700242,"AXIS Cash",HYDER,10205.00
2769863,,2024-11-16,,,57883,5788300442,"AXIS Cash",DURGA,10480.00
2769864,,2024-11-16,,,57883,5788300443,"AXIS Cash",DURGA,4260.00
2769865,,2024-11-16,,,87636,8763600384,"AXIS Cash",DELHI,16320.00
2769866,,2024-11-16,,,87652,8765200502,"AXIS Cash",AMBAL,8000.00
2769867,,2024-11-16,,,57163,57163,"AXIS Cash",CBRAL,1000.00
2769868,,2024-11-16,,,57153,644195,"AXIS Cash",CBRAL,13000.00
2769869,,2024-11-16,,,57126,5648938,"AXIS Cash",CBRAL,30100.00
2769870,,2024-11-16,,,57280,46890383,"AXIS Cash",CBRAL,10652.00
2769871,,2024-11-16,,,57180,47341371,"AXIS Cash",CBRAL,6142.00
2769872,,2024-11-16,,,57152,60792871,"AXIS Cash",CBRAL,6317.00
2769873,,2024-11-16,,,57157,62542374,"AXIS Cash",CBRAL,5730.00
2769874,,2024-11-16,,,57130,71670127,"AXIS Cash",CBRAL,29530.00
2769875,,2024-11-16,,,57131,82896183,"AXIS Cash",CBRAL,19800.00
2769876,,2024-11-16,,,57139,5713900689,"AXIS Cash",CBRAL,18239.00
2769877,,2024-11-16,,,57164,5716400531,"AXIS Cash",CBRAL,4440.00
2769805,,2024-11-16,,,57134,8246006,"AXIS Cash",BANGL,8000.00
2769806,,2024-11-16,,,57156,45316204,"AXIS Cash",CHENN,2200.00
2769807,,2024-11-16,,,57833,57592386,"AXIS Cash",SRIGA,5000.00
2769808,,2024-11-16,,,87301,61725114,"AXIS Cash",CHNDI,10000.00
2769809,,2024-11-16,,,57305,64140629,"AXIS Cash",COIMB,2452.00
2769810,,2024-11-16,,,57609,64645340,"AXIS Cash",BANGL,12000.00
2769811,,2024-11-16,,,57198,64774202,"AXIS Cash",HYDER,4040.00
2769812,,2024-11-16,,,57890,71671754,"AXIS Cash",GORAK,21800.00
2769813,,2024-11-16,,,57143,73168379,"AXIS Cash",TIRUP,1580.00
2769814,,2024-11-16,,,57749,74310023,"AXIS Cash",CHNDI,3100.00
2769815,,2024-11-16,,,57505,79921758,"AXIS Cash",BANGL,4300.00
2769816,,2024-11-16,,,57513,80330118,"AXIS Cash",KOTA,9000.00
2769817,,2024-11-16,,,57263,80376563,"AXIS Cash",RANCH,5510.00
2769818,,2024-11-16,,,57127,80684500,"AXIS Cash",JAMSH,5700.00
2769819,,2024-11-16,,,57847,80734468,"AXIS Cash",PANAJ,500.00
2769820,,2024-11-16,,,57108,81026149,"AXIS Cash",MYSOR,2050.00
2769821,,2024-11-16,,,57187,81049966,"AXIS Cash",BANGL,10950.00
2769822,,2024-11-16,,,57220,82707070,"AXIS Cash",BHOPA,9890.00
2769823,,2024-11-16,,,57115,91358246,"AXIS Cash",HYDER,10240.00
2769824,,2024-11-16,,,57190,571900508,"AXIS Cash",SURAT,6675.00
2769825,,2024-11-16,,,57110,5711000709,"AXIS Cash",BAREI,14100.00
2769826,,2024-11-16,,,57111,5711100837,"AXIS Cash",CHENN,5400.00
2773537,,2024-11-16,,,,,SBICASHMIS,,272230.00
2773539,,2024-11-16,,,,,SBICASHMIS,,97250.00
2773404,,2024-11-16,,,,,SBICASHMIS,,416300.00
2773368,,2024-11-16,,,,,SBICASHMIS,,382640.00
2773305,,2024-11-16,,,,,SBICASHMIS,,122150.00
2772959,,2024-11-16,,,,,SBICASHMIS,,404380.00
2773043,,2024-11-16,,,,,SBICASHMIS,,429400.00
2773047,,2024-11-16,,,,,SBICASHMIS,,145900.00
2773048,,2024-11-16,,,,,SBICASHMIS,,110500.00
2773049,,2024-11-16,,,,,SBICASHMIS,,16500.00
2773050,,2024-11-16,,,,,SBICASHMIS,,162750.00
2773051,,2024-11-16,,,,,SBICASHMIS,,64000.00
2773029,,2024-11-16,,,,,SBICASHMIS,,155800.00
2773041,,2024-11-16,,,,,SBICASHMIS,,10000.00
2770393,,2024-11-16,,,57116,2725198,"AXIS Cash",KOCHI,1900.00
2770370,,2024-11-15,,,57116,2725197,"AXIS Cash",KOCHI,900.00
2770371,,2024-11-15,,,57134,2846005,"AXIS Cash",BANGL,11370.00
2770372,,2024-11-15,,,57174,5084635,"AXIS Cash",BANGL,4420.00
2770373,,2024-11-15,,,57724,48652076,"AXIS Cash",GUWAH,3700.00
2770374,,2024-11-15,,,57754,61485029,"AXIS Cash",PURNI,15000.00
2770375,,2024-11-15,,,57305,64140628,"AXIS Cash",COIMB,32089.00
2770376,,2024-11-15,,,57143,73168378,"AXIS Cash",TIRUP,1340.00
2770377,,2024-11-15,,,57847,80734467,"AXIS Cash",PANAJ,1000.00
2770378,,2024-11-15,,,57108,81026148,"AXIS Cash",MYSOR,10000.00
2770379,,2024-11-15,,,57156,82526017,"AXIS Cash",CHENN,2370.00
2770380,,2024-11-15,,,57146,82646994,"AXIS Cash",MANGR,6550.00
2770381,,2024-11-15,,,57899,83316677,"AXIS Cash",AHDBD,7600.00
2770382,,2024-11-15,,,57792,151132024,"AXIS Cash",AHDBD,7830.00
2770383,,2024-11-15,,,57190,571900507,"AXIS Cash",SURAT,13147.00
2770384,,2024-11-15,,,57129,5712900723,"AXIS Cash",BANGL,5500.00
2770385,,2024-11-15,,,57160,5716000450,"AXIS Cash",COIMB,4700.00
2770386,,2024-11-15,,,57191,5719100245,"AXIS Cash",AHDBD,19653.00
2770387,,2024-11-15,,,57193,5719300436,"AXIS Cash",TRIVA,4384.00
2770388,,2024-11-15,,,57621,5762100384,"AXIS Cash",AHDBD,13824.00
2770389,,2024-11-15,,,57638,5763800410,"AXIS Cash",RAJKO,5500.00
2770390,,2024-11-15,,,57761,5776100433,"AXIS Cash",NAVSA,3776.00
2770391,,2024-11-15,,,57791,5779100406,"AXIS Cash",BANGL,4000.00
2770392,,2024-11-15,,,57162,2099159,"AXIS Cash",CBRAL,16300.00
2773303,,2024-11-15,,,,,SBICASHMIS,,126750.00
2773289,,2024-11-14,,,,,SBICASHMIS,,80450.00
2773138,,2024-11-14,,,,,SBICASHMIS,,40700.00
2773139,,2024-11-14,,,,,SBICASHMIS,,125070.00
2773140,,2024-11-14,,,,,SBICASHMIS,,15200.00
2773141,,2024-11-14,,,,,SBICASHMIS,,230400.00
2773142,,2024-11-14,,,,,SBICASHMIS,,107950.00
2773143,,2024-11-14,,,,,SBICASHMIS,,130500.00
2773144,,2024-11-14,,,,,SBICASHMIS,,40650.00
