"Unique ID","SL no","MGP SAP code","NEW SAP code","Retak code","New IO No","Brand Name","Sub Brand",StoreTypeasperBrand,Channel,"Franchisee Name","Store opening Date",Status,"Store Closing Date",Location,City,State,Address,"Pin code","Located ","Store Area (Sq Feet)",Region,"Store Manager Name","Contact no","Basement occupied (Y/No)","ARM email id","RM email id","NROM email id","RCM mail","Correct store email id","HO contact","RD email id"
130,11,9000521,1022,41022,,"PLANET FASHION",,"TRADE FOFO",Trade,"BARHU ROAD",2022-05-31,,,"BARHU ROAD",KATNI,"Madhya Pradesh","Planet Fashion Store,Ground Floor City Mall,Opposite Hotel Pankaj Place,Gurunanak Ward, Barhi Road,Katni,483501",483501,"BARHU ROAD",,West,"Akhilesh Sharma",7489959866,NO,jagat.dhami@abfrl.adityabirla.com,varun.rao@abfrl.adityabirla.com,atul.sharma2@abfrl.adityabirla.com,atul.gupta@abfrl.adityabirla.com,sr9000521@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
158,12,9000523,1028,41028,,"PLANET FASHION",,"TRADE FOFO",Trade,"VIJAY LUXMI NAGAR",2022-06-04,,,"VIJAY LAKSHMI NAGAR",SITAPUR,"UTTAR PRADESH","Planet Fashion, C/o Global Trends,4, Station Road, Vijay Luxmi Nagar, Sitapur, Lucknow, Uttar Pradesh-261001",261001,"VIJAY LAKSHMI NAGAR",,NORTH,Naseer,8840098956,NO," mohit.ahuja@abfrl.adityabirla.com "," ravi.prakash@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,Ajay.Verma@abfrl.adityabirla.com,sr9000523@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
157,13,9000524,1029,41029,,"PLANET FASHION",,"TRADE FOFO",Trade,"SADAR BAZAR",2022-06-16,,,"SADAR BAZAR",HARDOI,"UTTAR PRADESH","Planet Fashion ,Global Trends,65/8 - H,Sadar Bazar,Bada Chauraha,Global Trends,Hardoi-241001",241001,"SADAR BAZAR",,NORTH,Mahendra,9501155720,NO," mohit.ahuja@abfrl.adityabirla.com "," ravi.prakash@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,Ajay.Verma@abfrl.adityabirla.com,sr9000524@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
1415,14,9000528,1036,11036,,"LOUIS PHILIPPE",,"TRADE FOFO",Trade,JORHAT,2022-06-24,,,"B L RETAILS",JORHAT,Assam,"Poddar Building , Gar - Ali - Jorhat Assam 785001",785001,"B L RETAILS",,EAST,"Rajib Pegu",8011751802,NO," bikram.nayak1@abfrl.adityabirla.com "," saurav.narjinary@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,avijit.mukherjee@abfrl.adityabirla.com,sr9000528@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
163,15,9000529,1039,41039,,"PLANET FASHION",,"TRADE FOFO",Trade,"BANK STREET",2022-06-24,,,"BANK STREET",JAJAPUR,Odisha,"Planet Fashion Store, C/o Bijay Garments , 1st Floor, Allen Solly Near Chorda Bypass, Jajpur Road, Jajpur, Odisha, 755019",755019,"BANK STREET",,EAST,"Deepak Kumar Nayak",7978446407,NO," saroj.kumar1@abfrl.adityabirla.com "," ravi.prakash@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,avijit.mukherjee@abfrl.adityabirla.com,sr9000529@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
1071,16,100018,1040,11040,,"LOUIS PHILIPPE",,COCO,Retail,,1999-04-24,,,"PARK LANE",SECUNDERABAD,Telangana,"Louis Philippe, 1/2/235/D Park Lane, Secunderabad-500003.",500003,"PARK LANE",,SOUTH,0,0,NO," bsridhar.reddy@abfrl.adityabirla.com "," shivam.aneja@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,yogeshwari.sundar@abfrl.adityabirla.com,mg.seclp1040@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
147,17,9000530,1041,41041,,"PLANET FASHION",,"TRADE FOFO",Trade,CHANMARI,2022-06-27,,,CHANMARI,AIZAWL,Mizoram,"Planet Fashion Store, Wear Me Out, Hrangbana Building Chanmari, Aizwal, Mizoram, 796007",796007,CHANMARI,,EAST,Zautei,8974855649,NO," anil.senapati1@abfrl.adityabirla.com "," ravi.prakash@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,avijit.mukherjee@abfrl.adityabirla.com,sr9000530@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
159,18,9000531,1043,41043,,"PLANET FASHION",,"TRADE FOFO",Trade,"BHATTA BAZAR",2022-06-16,,,"BHATTA BAZAR. PURNEA",PURNIA,Bihar,"Planet Fashion Store, sai Exclusive, 259, Kali Bark Chowk, Bhatta Bazar, Ward No.22, Purnea, Bihar, 854301",854301,"BHATTA BAZAR. PURNEA",,EAST,"Rahul Singh",8252765195,NO," amrapali.singh@abfrl.adityabirla.com "," ravi.prakash@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,avijit.mukherjee@abfrl.adityabirla.com,sr9000531@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
2919,19,9000532,1044,11044,,"LOUIS PHILIPPE",,"TRADE FOFO",Trade,"Gurunanak Enterprises",2022-06-24,Closed,2024-03-20,KASHIPUR,KASHIPUR,Uttarakhand,"Ramnagar Road, U.S Nagar, Kashipur, 244713, Uttarkhand",244713,KASHIPUR,,NORTH,Gurmukh,8958070881,NO,varun.khanna@abfrl.adityabirla.com,manish.sharma@abfrl.adityabirla.com,shilpi.pachauri@abfrl.adityabirla.com,Ajay.Verma@abfrl.adityabirla.com,sr9000532@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
1070,20,100215,1052,11052,,"LOUIS PHILIPPE",,COCO,Retail,"J M ROAD, PUNE",2005-03-30,,,"J M ROAD, PUNE",PUNE,Maharashtra,"Louis Philippe, Sambhaji Mansion, Ground Floor, 1260-A Jungli Maharaj Road, Pune - 411004.",411004,"J M ROAD, PUNE",,West,"Vicky Andhare",8668986659,NO," adil.shaikh@abfrl.adityabirla.com "," mayur.purohit@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,atul.gupta@abfrl.adityabirla.com,mg.punlp1052@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
1073,21,100245,1057,11057,,"LOUIS PHILIPPE",,COCO,Retail,"LINKING ROAD, KHAR",2005-10-21,,,"LINKING ROAD, MUMBAI",MUMBAI,Maharashtra,"Louis Philippe, Gazebo House, Plot #33, CTS # 500, Linking Road, Khar (W), Mumbai-52",400052,"LINKING ROAD, MUMBAI",,West,"Nasir Hussainshaikh",9022522382,NO," sameer.shaikh@abfrl.adityabirla.com "," mayur.purohit@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,atul.gupta@abfrl.adityabirla.com,mg.mumlp1057@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
1074,22,100325,1063,11063,,"LOUIS PHILIPPE",,COCO,Retail,"MG ROAD, PUNE",2007-04-16,,,"MG ROAD, PUNE",PUNE,Maharashtra,"Louis Philippe, # 318/3, MG Road , Pune-411001",411001,"MG ROAD, PUNE",,West,"Azam Shaikh",9822345286,NO," adil.shaikh@abfrl.adityabirla.com "," mayur.purohit@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,atul.gupta@abfrl.adityabirla.com,mg.punlp1063@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
1075,23,100327,1064,11064,,"LOUIS PHILIPPE",,COCO,Retail,"DABA GARDENS, VIZAG",2007-05-18,,,"DABA GARDENS",VISAKHAPATNAM,"Andhra Pradesh","Louis Philippe, Shop # 2, Ground Floor, Sai Surya Complex, Plot # 214, 215P, Block -41,Daba Gardens, Vizag -530020",530020,"DABA GARDENS",,EAST,"A Dhanunjaya",9848127242,NO," bsridhar.reddy@abfrl.adityabirla.com "," shivam.aneja@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,avijit.mukherjee@abfrl.adityabirla.com,mg.vizlp1064@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
1076,24,100409,1072,11072,,"LOUIS PHILIPPE",,COCO,Retail,"BANJARA HILLS, HYDERABAD",2008-02-08,,,"BANJARA HILLS, ROAD NO 2",HYDERABAD,Telangana,"Louis Philippe, #86,Ground Floor,Mezzanine floor,Road # 2,Banjara Hills,Hyderabad-500034",500034,"BANJARA HILLS, ROAD NO 2",,SOUTH,Srinivas,9515443966,YES," bsridhar.reddy@abfrl.adityabirla.com "," shivam.aneja@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,yogeshwari.sundar@abfrl.adityabirla.com,mg.hydlp1072@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
1153,25,100435,1083,11083,,"LOUIS PHILIPPE",,COCO,Retail,"AMBI MALL, GURGAON",2007-12-23,,,"AMBIENCE MALL GURGAON",GURGAON,Haryana,"Louis Philippe, # 118 First Floor,Ambience Island,NH-8,Gurgoan-122001",122001,"AMBIENCE MALL GURGAON",,NORTH,"Hari Kumar",8936944555,Yes," dharam.yogesh@abfrl.adityabirla.com "," manish.sharma@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,Ajay.Verma@abfrl.adityabirla.com,mg.dellp1083@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
1173,26,100471,1086,11086,,"LOUIS PHILIPPE",,COCO,Retail,"INORBIT MALL, MUMBAI",2008-10-07,,,"INORBIT MALL, MUMBAI",VASHI,Maharashtra,"Louis Philippe, Shop # F37,First Floor,Inorbit Mall,Sector # 30-A Vashi ,Navi Mumbai-400705",400705,"INORBIT MALL, MUMBAI",,West,"Rahul Sangale",9029724331,NO," tarun.thakre@abfrl.adityabirla.com "," mayur.purohit@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,atul.gupta@abfrl.adityabirla.com,mg.mumlp1086@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
1086,27,100496,1088,11088,,"LOUIS PHILIPPE",,COCO,Retail,"OBEROI MALL, GOREGAON",2008-05-03,,,"OBEROI MALL, MUMBAI",MUMBAI,Maharashtra,"Louis Philippe, Shop # F-16 & F17,Oberoi Mall,International Business Park,Oberoi garden City,Off W.E Highway,Goregoan(east)Mumbai-400063",400063,"OBEROI MALL, MUMBAI",,West,"Nizamuddin Shaikh",9819689469,NO," sameer.shaikh@abfrl.adityabirla.com "," mayur.purohit@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,atul.gupta@abfrl.adityabirla.com,mg.mumlp1088@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
1155,28,100671,1093,11093,,"LOUIS PHILIPPE",,COCO,Retail,"SHIPRA MALL, GHAZIABAD",2005-06-04,,,"SHIPRA MALL",GHAZIABAD,"UTTAR PRADESH","Louis Philippe, No 30/31 ,  Shipra Mall ,Plot - 9, Vaibhavkhand, Indirapuram, Ghaziabad, UP  201001",201001,"SHIPRA MALL",,NORTH,"Piyush Shrivastava",8287264224,Yes," dharam.yogesh@abfrl.adityabirla.com "," manish.sharma@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,Ajay.Verma@abfrl.adityabirla.com,mg.dellp1093@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
1079,29,100725,1097,11097,,"LOUIS PHILIPPE",,COCO,Retail,"100 FT RD INDIRANAGAR, BANGALO",2010-02-17,,,"100 FEET ROAD INDIRA NAGAR",BANGALORE,Karnataka,"Louis Philippe, # 777C,100ft Rd, HAL 02nd Stage, Opp. Methodist church Bangalore-560038",560038,"100 FEET ROAD INDIRA NAGAR",,SOUTH,"Neelam Devi",8660235842,NO," rohit.kumar6@abfrl.adityabirla.com "," shivam.aneja@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,yogeshwari.sundar@abfrl.adityabirla.com,mg.banlp1097@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
129,30,9000534,1102,41102,,"PLANET FASHION",,"TRADE FOFO",Trade,"KOKRAN MANDIR ROAD",2022-05-22,,,"KOKRAN MANDIR ROAD",NADIAD,Gujarat,"Planet Fashion Store, SYDNEY, SARC Kokran Mandir Road, Near Police Chowky Khedda, Nadiad, Gujarat, 387001",387001,"KOKRAN MANDIR ROAD",,West,Kamal,8000960397,NO," vandrine.dias@abfrl.adityabirla.com "," varun.rao@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,atul.gupta@abfrl.adityabirla.com,sr9000534@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
682,31,9000536,1104,21104,,"VAN HEUSEN",,"TRADE FOFO",Trade,"VH MAINLINE KASHIPUR",2022-07-04,,,KASHIPUR,KASHIPUR,Uttarakhand,"SHRI SATGURU COLLECTION, RAMNAGAR ROAD, NEAR CHEEMA CHORAHA KASHIPUR, DIST- UDHAM SINGH NAGAR PIN-244713",244713,KASHIPUR,,NORTH,Badal,9808933008,NO," jatin.khandelwal@abfrl.adityabirla.com "," nitin.ratti@abfrl.adityabirla.com ",shrey.talwar@abfrl.adityabirla.com,Ajay.Verma@abfrl.adityabirla.com,sr9000536@abfrl.adityabirla.com,balasundaram.v@abfrl.adityabirla.com,aalok.sanghvi@abfrl.adityabirla.com
133,32,9000537,1105,41105,,"PLANET FASHION",,"TRADE FOFO",Trade,"SECTOR 17",2022-05-06,,,"SECT 17",KURUKSHETRA,Haryana,"Planet Fashion Store, SCO-42, Sector -17, Nearby Kessel Mall, Kurukshetra, Haryana, 136118",136118,"SECT 17",,NORTH,Rajesh,8930834076,NO," bijoy.chatterjee@abfrl.adityabirla.com "," ravi.prakash@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,Ajay.Verma@abfrl.adityabirla.com,sr9000537@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
134,33,9000539,1107,41107,,"PLANET FASHION",,"TRADE FOFO",Trade,"MAIN ROAD",2022-05-23,,,"MAIN ROAD",BULDHANA,Maharashtra,"Planet Fashion Store, C/o Yogayog Fashion House, Shop No.17,18,19, Jijamata Sports and Commercial Complex, Buldana, Maharashtra, 443001",443001,"MAIN ROAD",,West,"Gajanan Vishnu Pawar",9623936236,NO," jagat.dhami@abfrl.adityabirla.com "," varun.rao@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,atul.gupta@abfrl.adityabirla.com,sr9000539@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
127,34,9000540,1108,41108,,"PLANET FASHION",,"TRADE FOFO",Trade,"KASTURABA ROAD",2022-05-31,,,"KASTURABA ROAD",CHANDRAPUR,Maharashtra,"Planet Fashion Store, C/o Shree Clothing, Near Girnar Chowk, Kasturaba Road, Chandrapur, Maharasthra, 442402",442402,"KASTURABA ROAD",,West,Kishan,9422910102,NO," jagat.dhami@abfrl.adityabirla.com "," varun.rao@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,atul.gupta@abfrl.adityabirla.com,sr9000540@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
131,35,9000541,1109,41109,,"PLANET FASHION",,"TRADE FOFO",Trade,"MANPADA ROAD",2022-05-23,,,"MANPADA ROAD",THANE,Maharashtra,"Planet Fashion Store, Khemani Brothers, S Mart, Shop No.18, Kasturi Plaza, Manapada Road, Dombivali East, Thane, 421201",421201,"MANPADA ROAD",,West,Nilesh,9224342031,NO," vandrine.dias@abfrl.adityabirla.com "," varun.rao@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,atul.gupta@abfrl.adityabirla.com,sr9000541@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
2920,36,9000542,1110,41110,,"PLANET FASHION",,"TRADE FOFO",Trade,"SALASAR TRADING COMPANY ",2022-05-25,Closed,2024-03-10,"PARASIA ROAD",CHHINDWARA,"Madhya Pradesh","Planet Fashion Store, C/o Salasar Trading, Parasia Road, Chhindwara, Madhya Pradesh, 480001",480001,"PARASIA ROAD",,West,"Mohan Baghelkar",9685846240,NO,pravesh.sharma@abfrl.adityabirla.com,ravi.prakash@abfrl.adityabirla.com,atul.sharma2@abfrl.adityabirla.com,atul.gupta@abfrl.adityabirla.com,sr9000542@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
143,37,9000543,1111,41111,,"PLANET FASHION",,"TRADE FOFO",Trade,"HIGHSCHOOL ROAD",2022-06-13,,,"HIGHSCHOOL ROAD",SANGLI,Maharashtra,"Planet Fashion Store, Shri Garments, G-2, CS No.337, Shriram Prestige Vikhar Bhag, High School Road, Sangli, 416416",416416,"HIGHSCHOOL ROAD",,West,Sachin,9503646464,NO," vandrine.dias@abfrl.adityabirla.com "," varun.rao@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,atul.gupta@abfrl.adityabirla.com,sr9000543@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
2982,38,9000545,1113,41113,,"PLANET FASHION",,"TRADE FOFO",Trade,MANJERI,2022-06-18,Closed,2024-04-21,"NILAMBUR ROAD",MALAPPURAM,KERALA,"Planet Fashion Store, G 1, F1,  VP Mall, Near VP Hall, Nilamber Road, Nellipparambu, Manjeri, Mallapuram, Kerala, 676121",676121,"NILAMBUR ROAD",,SOUTH,Riyas,9745145438,NO,mahesh.premaraj@abfrl.adityabirla.com,atul.sharma2@abfrl.adityabirla.com,atul.sharma2@abfrl.adityabirla.com,yogeshwari.sundar@abfrl.adityabirla.com,sr9000545@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
125,39,9000546,1114,41114,,"PLANET FASHION",,"TRADE FOFO",Trade,"POLICE ROAD",2022-05-30,,,"POLICE ROAD",SHILLONG,Meghalaya,"Planet Fashion Store, C/o Badrisons, G.S Road, BRO IAN Building, Shillong, Meghalaya, 793001",793001,"POLICE ROAD",,EAST,Partho,8787648912,NO," anil.senapati1@abfrl.adityabirla.com "," ravi.prakash@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,avijit.mukherjee@abfrl.adityabirla.com,sr9000546@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
665,40,9000548,1116,21116,,"VAN HEUSEN",,"TRADE FOFO",Trade,"VH MAINLINE PNM MALL",2022-06-24,,,"PNM MALL",PATNA,Bihar,"G-12, Ground Floor, P & M Mall, Kurji, Patlipurtra, Patna-800013, Bihar",800013,"PNM MALL",,EAST,"SURAJ ARORA",7004543587,NO," vishwajit.singh@abfrl.adityabirla.com "," nitin.ratti@abfrl.adityabirla.com ",shrey.talwar@abfrl.adityabirla.com,avijit.mukherjee@abfrl.adityabirla.com,sr9000548@abfrl.adityabirla.com,balasundaram.v@abfrl.adityabirla.com,aalok.sanghvi@abfrl.adityabirla.com
666,41,9000549,1117,21117,,"VAN HEUSEN",,"TRADE FOFO",Trade,"VH MAINLINE ML PLAZA",2022-06-24,,,"ML PLAZA",AGARTALA,Tripura,"M L Plaza Mall, M B Road, Agartala-799001, Tripura",799001,"ML PLAZA",,EAST,Bimal,7005866109,NO," sabir.hassan@abfrl.adityabirla.com ","  ravinder.singh1@abfrl.adityabirla.com ",shrey.talwar@abfrl.adityabirla.com,avijit.mukherjee@abfrl.adityabirla.com,sr9000549@abfrl.adityabirla.com,balasundaram.v@abfrl.adityabirla.com,aalok.sanghvi@abfrl.adityabirla.com
